"Nome dell'inserzione","Ora del giorno (fuso orario dell'account pubblicitario)","Pubblicazione dell'inserzione",Risultati,"Indicatore di risultato","Costo per risultato","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Impression,Copertura,Frequenza,"CPM (costo per 1000 impression) (EUR)","Riproduzioni del video di 3 secondi","Clic sul link","Tempo medio di riproduzione del video","Percentuale di visualizzazione del video",Fine,"Impostazione di attribuzione","Valutazione della qualità","Valutazione del tasso di coinvolgimento","Classificazione tasso di conversione",shop_clicks,"CPC (costo per clic sul link) (EUR)","CTR (tasso di clic sul link)","Clic (tutti)","CTR (tutti i clic)","CPC (tutti i clic) (EUR)","Visualizzazioni della pagina di destinazione","Costo per visualizzazione della pagina di destinazione (EUR)","ROAS (ritorno sulla spesa pubblicitaria) per gli acquisti in-app","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti sul sito Web","Percentuale di successo","Valore risultati","Indicatore del ROAS dei risultati","ROAS risultati","Costo per 1000 account del Centro gestione account raggiunti (EUR)",Visualizzazioni,Visualizzazioni,"Costo per riproduzione del video di 2 secondi continuativi (EUR)","Costo per ThruPlay (EUR)","Riproduzioni del video di 2 secondi continuativi",unique_video_continuous_2_sec_watched_actions:video_view,ThruPlay,"Riproduzioni del video","Costo per riproduzione del video di 3 secondi (EUR)","Clic unici (tutti)","Clic unici sul link","Costo per clic unico (tutti) (EUR)","Costo per clic unico sul link (EUR)","CTR (tasso di clic) in uscita","Clic in uscita","Clic unici in uscita","Costo per clic in uscita (EUR)","Costo per clic unico in uscita (EUR)","CTR per clic unici in uscita","CTR unico (tutti i clic)","Visualizzazioni della foto","CTR unico (tasso di clic sul link)","Costo per visualizzazione della pagina di destinazione (EUR)","Visite al profilo Instagram","Costo per ""Mi piace"" (EUR)","""Mi piace"" di Facebook","Follower di Instagram","Commenti ai post","Condivisioni dei post",ar_effect_share:ar_effect_share,"Costo per interazione con il post (EUR)",cost_per_action_type:group_join,"Costo per interazione con la Pagina (EUR)","Costo per risposta all'evento (EUR)","Interazione con la Pagina",instagram_upcoming_event_reminders_set,Registrazioni,"Risposte all'evento","Interazioni con il post",actions:group_join,"Salvataggi del post","Reazioni ai post",onsite_conversion_returning_messaging_connection,actions:onsite_conversion.messaging_conversation_replied_7d,cost_per_action_type:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_user_subscribed,actions:onsite_conversion.messaging_welcome_message_view,"Contatti dei messaggi","Conversazioni tramite messaggi avviate","Costo per conversazione tramite messaggi avviata (EUR)"," (EUR)","Nuovi contatti dei messaggi","Acquisti diretti sul sito web","Clic sulle inserzioni in-app","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti","ROAS (ritorno sulla spesa pubblicitaria) relativo alle donazioni","Riproduzioni del video al 100%","Riproduzioni del video al 50%","Riproduzioni del video al 95%","Riproduzioni del video al 25%","Riproduzioni del video al 75%","Tasso di riproduzioni del video di 3 secondi per impression","Data di creazione","Fine dei report",Inizio,"Pubblicazione del gruppo di inserzioni","Data dell'ultima modifica","Inizio dei report","Ultima modifica significativa",Obiettivo,Offerta,"Tipo di offerta","ID account","ID dell'inserzione","Nome del gruppo di inserzioni","Nome della campagna","Nome dell'account","ID della campagna","ID del gruppo di inserzioni",url_tags,instant_experience_element_reach:instant_experience_element_impression,instant_experience_element_impressions:instant_experience_element_impression,"Impression da aggiornamento automatico","Impression totali (include le impression non valide da traffico non umano)","Percentuale di visualizzazione dell'esperienza interattiva","Tempo di visualizzazione dell'esperienza interattiva","Costo per aumento stimato del ricordo dell'inserzione (persone) (EUR)","Aumento stimato del ricordo dell'inserzione (persone)","Tasso di aumento stimato del ricordo dell'inserzione","Clic in uscita per l'esperienza interattiva","Clic per avviare l'esperienza interattiva","Clic per aprire l'esperienza interattiva","Tasso di acquisti per clic sul link","Tasso di visualizzazioni della pagina di destinazione per clic sul link","Tasso di acquisti per visualizzazioni della pagina di destinazione","Conversioni degli acquisti medie","Costo per mantenimento del giorno 7 nell'app mobile (EUR)","Mantenimento del giorno 7 nell'app mobile","Mantenimento del giorno 2 nell'app mobile","Costo per mantenimento del giorno 2 nell'app mobile (EUR)"
BNG_LONG,"08:00:00 - 08:59:59",inactive,,,,21.67,Giornaliero,1.72,630,0,0,2.730159,401,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,7,1.111111,0.245714,,,,,,,,,0,0,0,,,,,,,0.004289,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.004257,,0.004257,,404,,,,404,,,3,,,,,,,,,,,0,,,,,,,,,63.650794,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,630,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"07:00:00 - 07:59:59",inactive,,,,21.67,Giornaliero,2.58,939,0,0,2.747604,587,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,5,0.532481,0.516,,,,,,,,,0,0,0,,,,,,,0.004395,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.004358,,0.004358,,592,,,,592,,,5,,,,,,,,,,,0,,,,,,,,,62.513312,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,939,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"06:00:00 - 06:59:59",inactive,,,,21.67,Giornaliero,1.36,520,0,0,2.615385,310,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,5,0.961538,0.272,,,,,,,,,0,0,0,,,,,,,0.004387,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.004331,,0.004331,,314,,,,314,,,4,,,,,,,,,,,0,,,,,,,,,59.615385,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,520,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"05:00:00 - 05:59:59",inactive,,,,21.67,Giornaliero,0.38,134,0,0,2.835821,88,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,1,0.746269,0.38,,,,,,,,,0,0,0,,,,,,,0.004318,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.00413,,0.00413,,92,,,,92,,,4,,,,,,,,,,,0,,,,,,,,,65.671642,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,134,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"04:00:00 - 04:59:59",inactive,,,,21.67,Giornaliero,0.18,75,0,0,2.4,46,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,1,1.333333,0.18,,,,,,,,,0,0,0,,,,,,,0.003913,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.00383,,0.00383,,47,,,,47,,,1,,,,,,,,,,,0,,,,,,,,,61.333333,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,75,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"03:00:00 - 03:59:59",inactive,,,,21.67,Giornaliero,0.16,64,0,0,2.5,31,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,0,0,0,,,,,,,,,0,0,0,,,,,,,0.005161,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.005161,,0.005161,,31,,,,31,,,,,,,,,,,,,,0,,,,,,,,,48.4375,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,64,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"02:00:00 - 02:59:59",inactive,,,,21.67,Giornaliero,0.41,171,0,0,2.397661,99,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,2,1.169591,0.205,,,,,,,,,0,0,0,,,,,,,0.004141,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.0041,,0.0041,,100,,,,100,,,1,,,,,,,,,,,0,,,,,,,,,57.894737,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,171,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"01:00:00 - 01:59:59",inactive,,,,21.67,Giornaliero,0.63,269,0,0,2.342007,155,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,5,1.858736,0.126,,,,,,,,,0,0,0,,,,,,,0.004065,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.004013,,0.004013,,157,,,,157,,,2,,,,,,,,,,,0,,,,,,,,,57.620818,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,269,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"00:00:00 - 00:59:59",inactive,,,,21.67,Giornaliero,0.53,234,0,0,2.264957,136,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,4,1.709402,0.1325,,,,,,,,,0,0,0,,,,,,,0.003897,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.003813,,0.003813,,139,,,,139,,,3,,,,,,,,,,,0,,,,,,,,,58.119658,2025-10-11,2025-10-16,2025-10-11,inactive,2025-11-29,2025-10-16,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,234,0,0,0,0,0,,0,0,0,0,0,,,,,
BNG_LONG,"23:00:00 - 23:59:59",inactive,,,,21.67,Giornaliero,1.07,497,0,0,2.152918,305,,00:00:00,0,2025-10-16,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,,,,2,0.402414,0.535,,,,,,,,,0,0,0,,,,,,,0.003508,0,,0,,,,,,,,0,,0,,0,,,0,,,,0.003497,,0.003497,,306,,,,306,,,1,,,,,,,,,,,0,,,,,,,,,61.368209,2025-10-11,2025-10-15,2025-10-11,inactive,2025-11-29,2025-10-15,2025-10-11T15:05:52+0200,Interazioni,0,ABSOLUTE_OCPM,1260829851770085,120232892002590167,Lancio_BNG_VideoViews_10ott,Lancio_BNG_VideoViews_10ott,YangKidd,120232892002600167,120232892002610167,,,,0,497,0,0,0,0,0,,0,0,0,0,0,,,,,
